标签,国家,协议,服务器,端口,初始出口IP,成功次数,失败次数,成功率,平均延迟ms,最低延迟ms,最高延迟ms,第1轮出口IP,第1轮延迟ms,第1轮residential,第1轮原因,第2轮出口IP,第2轮延迟ms,第2轮residential,第2轮原因,第3轮出口IP,第3轮延迟ms,第3轮residential,第3轮原因
家宽-01,KR,vless,188.114.97.6,2087,183.97.233.4,3,0,3/3,94,88,102,175.192.99.45,88,True,online_res,115.21.239.155,93,True,online_res,14.35.204.176,102,True,online_res
家宽-02,KR,vless,172.64.52.230,2087,59.5.26.71,3,0,3/3,114,104,122,14.35.204.176,116,True,online_res,14.35.204.176,122,True,online_res,175.192.99.45,104,True,online_res
